,brand,model,processor_name,ram_gb,ssd,hdd,latest_price
860,ASUS,ROG,Ryzen 7,4 GB GB,1024 GB,0 GB,76000
861,ASUS,ROG,Ryzen 7,4 GB GB,1024 GB,0 GB,99990
862,ASUS,Zephyrus,Ryzen 7,4 GB GB,1024 GB,0 GB,111000
863,ASUS,Ryzen,Ryzen 7,16 GB GB,1024 GB,0 GB,84970
864,HP,Pavilion,Ryzen 7,16 GB GB,256 GB,1024 GB,75990
865,acer,Nitro,Ryzen 7,16 GB GB,256 GB,1024 GB,89990
866,acer,Nitro,Ryzen 7,16 GB GB,256 GB,1024 GB,81990
867,Lenovo,Ryzen,Ryzen 7,4 GB GB,512 GB,1024 GB,80490
868,ASUS,ROG,Ryzen 9,16 GB GB,1024 GB,0 GB,135990
869,ASUS,ROG,Ryzen 9,16 GB GB,1024 GB,0 GB,154990
870,ASUS,ROG,Ryzen 9,16 GB GB,1024 GB,0 GB,199990
871,ASUS,ROG,Ryzen 9,16 GB GB,1024 GB,0 GB,114990
872,ASUS,ROG,Ryzen 9,16 GB GB,1024 GB,0 GB,129990
874,MSI,Delta,Ryzen 9,4 GB GB,1024 GB,0 GB,146990
875,ASUS,VivoBook,Ryzen 9,4 GB GB,1024 GB,0 GB,104990
876,ASUS,ROG,Ryzen 9,4 GB GB,1024 GB,0 GB,114990
877,ASUS,ROG,Ryzen 9,4 GB GB,1024 GB,0 GB,124990
878,ASUS,Zenbook,Ryzen 9,4 GB GB,1024 GB,0 GB,134990
879,HP,OMEN,Ryzen 9,4 GB GB,1024 GB,0 GB,141990
880,ASUS,Rog,Ryzen 9,4 GB GB,1024 GB,0 GB,129990
881,ASUS,ROG,Ryzen 9,4 GB GB,1024 GB,0 GB,142990
882,ASUS,Zephyrus,Ryzen 9,4 GB GB,1024 GB,0 GB,121990
884,ASUS,ROG,Ryzen 9,4 GB GB,1024 GB,0 GB,141990
885,ASUS,VivoBook,Ryzen 9,4 GB GB,1024 GB,0 GB,162990
886,ASUS,VivoBook,Ryzen 9,4 GB GB,1024 GB,0 GB,130500
887,ASUS,VivoBook,Ryzen 9,4 GB GB,1024 GB,0 GB,116990
888,ASUS,Ryzen,Ryzen 9,4 GB GB,1024 GB,0 GB,138990
889,ASUS,ROG,Ryzen 9,4 GB GB,1024 GB,0 GB,234990
890,ASUS,ROG,Ryzen 9,4 GB GB,1024 GB,0 GB,135990
891,ASUS,ROG,Ryzen 9,4 GB GB,1024 GB,0 GB,144990
892,ASUS,Ryzen,Ryzen 9,4 GB GB,1024 GB,0 GB,149990
893,ASUS,Ryzen,Ryzen 9,4 GB GB,1024 GB,0 GB,142990
894,SAMSUNG,Galaxy,Snapdragon 7c,4 GB GB,0 GB,512 GB,38990
895,Lenovo,Thinkpad,Ryzen 5,8 GB GB,512 GB,0 GB,57490
