,brand,model,processor_name,ram_gb,ssd,hdd,latest_price
245,Lenovo,Ideapad,Core i5,8 GB GB,512 GB,0 GB,52990
246,HP,Pavilion,Core i5,16 GB GB,512 GB,0 GB,67990
247,ASUS,TUF,Core i5,8 GB GB,512 GB,0 GB,57990
248,Lenovo,Ideapad,Core i5,16 GB GB,512 GB,0 GB,62300
249,realme,Book(Slim),Core i5,8 GB GB,512 GB,0 GB,52990
250,Lenovo,Missing,Core i5,8 GB GB,512 GB,0 GB,52990
251,Lenovo,IdeaPad,Core i5,8 GB GB,512 GB,0 GB,51990
252,Lenovo,IdeaPad,Core i5,16 GB GB,512 GB,0 GB,61990
253,RedmiBook,Pro,Core i5,8 GB GB,512 GB,0 GB,48990
254,ASUS,VivoBook,Core i5,8 GB GB,512 GB,0 GB,63990
255,Lenovo,ThinkPad,Core i5,8 GB GB,512 GB,0 GB,65990
256,Nokia,PureBook,Core i5,8 GB GB,512 GB,0 GB,47990
257,acer,Aspire,Core i5,8 GB GB,512 GB,0 GB,52990
258,Lenovo,IdeaPad,Core i5,8 GB GB,512 GB,0 GB,49990
259,ASUS,ASUS,Core i5,8 GB GB,512 GB,0 GB,71990
260,ASUS,VivoBook,Core i5,8 GB GB,512 GB,0 GB,47990
261,Nokia,PureBook,Core i5,8 GB GB,512 GB,0 GB,45990
262,Lenovo,IdeaPad,Core i5,8 GB GB,512 GB,0 GB,48490
263,ASUS,ASUS,Core i5,8 GB GB,512 GB,0 GB,72990
264,MSI,Katana,Core i5,16 GB GB,512 GB,0 GB,76990
265,ASUS,TUF,Core i5,16 GB GB,512 GB,0 GB,89990
266,MSI,GF63,Core i5,8 GB GB,512 GB,0 GB,59990
267,ASUS,TUF,Core i5,8 GB GB,512 GB,0 GB,65990
268,DELL,Inspiron,Core i5,8 GB GB,512 GB,0 GB,71990
269,DELL,Inspiron,Core i5,8 GB GB,512 GB,0 GB,71890
270,Lenovo,IdeaPad,Core i5,16 GB GB,512 GB,0 GB,64990
271,ASUS,VivoBook,Core i5,16 GB GB,512 GB,0 GB,65990
272,HP,Missing,Core i5,8 GB GB,512 GB,0 GB,55999
273,ASUS,VivoBook,Core i5,16 GB GB,512 GB,0 GB,73490
274,HP,Pavilion,Core i5,16 GB GB,512 GB,0 GB,74490
275,HP,Pavilion,Core i5,8 GB GB,512 GB,0 GB,58340
276,acer,Aspire,Core i5,8 GB GB,512 GB,0 GB,55999
277,DELL,Inspiron,Core i5,16 GB GB,512 GB,0 GB,67990
278,ASUS,VivoBook,Core i5,16 GB GB,512 GB,0 GB,59990
